module,indegree,ancestor_count,sorry_count
ArkLib.Data.CodingTheory.InterleavedCode,1,8,5
ArkLib.ProofSystem.ConstraintSystem.R1CS,1,8,1
ArkLib.Data.CodingTheory.BerlekampWelch.Condition,3,8,0
ArkLib.Data.FieldTheory.AdditiveNTT.AdditiveNTT,1,8,0
ArkLib.Data.Matrix.Sparse,1,8,0
ArkLib.Data.MlPoly.Equiv,2,8,0
ArkLib.Data.CodingTheory.GuruswamiSudan.GuruswamiSudan,2,9,5
ArkLib.Data.CodingTheory.ProximityGap,2,9,4
ArkLib.ProofSystem.Whir.BlockRelDistance,2,9,3
ArkLib.ProofSystem.Whir.ProximityGen,2,9,1
ArkLib.Data.CodingTheory.BerlekampWelch.Existence,1,9,0
ArkLib.Data.CodingTheory.DivergenceOfSets,1,10,1
ArkLib.ProofSystem.Stir.ProximityGap,3,10,1
ArkLib.Data.CodingTheory.BerlekampWelch.BerlekampWelch,1,10,0
ArkLib.Data.CodingTheory.GuruswamiSudan,1,10,0
ArkLib.ProofSystem.Stir.Folding,4,11,6
ArkLib.ProofSystem.Stir.Combine,2,11,1
ArkLib.ProofSystem.Stir.OutOfDomSmpl,4,11,1
ArkLib.ProofSystem.Whir.MutualCorrAgreement,3,12,5
ArkLib.ProofSystem.Stir.Quotienting,3,12,1
ArkLib.OracleReduction.ProtocolSpec.Basic,4,13,0
ArkLib.ProofSystem.Whir.Folding,2,14,6
ArkLib.OracleReduction.ProtocolSpec.Cast,1,14,2
ArkLib.ProofSystem.Whir.OutofDomainSmpl,4,16,3
ArkLib.Data.CodingTheory,5,16,0
ArkLib.OracleReduction.ProtocolSpec.SeqCompose,2,17,6
ArkLib.OracleReduction.Basic,1,18,1
ArkLib.OracleReduction.Execution,1,19,1
ArkLib.OracleReduction.Security.Basic,1,20,1
ArkLib.OracleReduction.Security.RoundByRound,1,21,3
ArkLib.OracleReduction.FiatShamir.Basic,1,21,2
ArkLib.CommitmentScheme.Basic,1,21,1
ArkLib.OracleReduction.Composition.Parallel.Basic,1,21,0
ArkLib.OracleReduction.LiftContext.Lens,1,21,0
ArkLib.OracleReduction.Security.Rewinding,1,21,0
ArkLib.OracleReduction.Security.SpecialSoundness,1,21,0
ArkLib.OracleReduction.Security.StateRestoration,1,21,0
ArkLib.OracleReduction.Cast,1,22,15
ArkLib.OracleReduction.Composition.Sequential.Append,1,22,15
ArkLib.ProofSystem.Component.CheckClaim,1,22,3
ArkLib.ProofSystem.Component.SendClaim,1,22,3
ArkLib.CommitmentScheme.SimpleRO,1,22,2
ArkLib.ProofSystem.Component.SendWitness,1,22,2
ArkLib.ProofSystem.Component.NoInteraction,1,22,1
ArkLib.CommitmentScheme.Trivial,1,22,0
ArkLib.OracleReduction.VectorIOR,1,22,0
ArkLib.ProofSystem.Component.DoNothing,1,22,0
ArkLib.ProofSystem.Component.ReduceClaim,1,22,0
ArkLib.ProofSystem.Plonk.Basic,2,22,0
ArkLib.OracleReduction.LiftContext.Reduction,2,23,9
ArkLib.OracleReduction.Salt,1,23,3
ArkLib.OracleReduction.Composition.Sequential.General,1,23,2
ArkLib.CommitmentScheme.InductiveMerkleTree,2,23,0
ArkLib.OracleReduction.LiftContext.OracleReduction,1,24,5
ArkLib.CommitmentScheme.Tensor,2,24,0
ArkLib.ProofSystem.Binius.Basic,1,24,0
ArkLib.OracleReduction.Security.Implications,2,25,12
ArkLib.ProofSystem.Fri.Spec.SingleRound,4,25,4
ArkLib.OracleReduction.BCS.Basic,2,25,0
ArkLib.OracleReduction.Equiv,1,25,0
ArkLib.ProofSystem.Component.RandomQuery,1,25,0
ArkLib.OracleReduction.FiatShamir.DuplexSponge.Defs,2,26,0
ArkLib.OracleReduction.FiatShamir.DuplexSponge.Security.Backtrack,1,27,4
ArkLib.OracleReduction.FiatShamir.DuplexSponge.Security.Lookahead,1,27,2
ArkLib.OracleReduction.FiatShamir.DuplexSponge.Security.KeyLemma,1,27,1
ArkLib.OracleReduction.FiatShamir.DuplexSponge.Security.Completeness,1,27,0
ArkLib.OracleReduction.FiatShamir.DuplexSponge.Security.Soundness,1,28,0
ArkLib.OracleReduction.FiatShamir.DuplexSponge.Security.ProverTransform,2,29,2
ArkLib.OracleReduction.FiatShamir.DuplexSponge.Security.TraceTransform,2,29,1
ArkLib.CommitmentScheme.Fold,2,30,0
ArkLib.OracleReduction.FiatShamir.DuplexSponge.Security.BadEvents,2,31,5
ArkLib.ProofSystem.Stir.MainThm,4,31,2
ArkLib.ProofSystem.Fri.Spec.General,2,31,0
ArkLib.ProofSystem.Sumcheck.Spec.SingleRound,6,32,19
ArkLib.OracleReduction.FiatShamir.DuplexSponge.Security.AbortAnalysis,1,32,0
ArkLib.ProofSystem.Sumcheck.Spec.General,1,33,0
ArkLib.ProofSystem.Whir.RBRSoundness,3,35,1
ArkLib.ProofSystem.Spartan.Basic,3,40,4
ArkLib.ProofSystem.Stir,6,40,0
ArkLib.ProofSystem.Sumcheck.Impl.Basic,2,40,0
ArkLib.ProofSystem.Whir,3,41,0
ArkLib,0,190,0
